### Footprint positions - created on 2024-04-17T16:16:07+0200 ###
### Printed by KiCad version 8.0.1
## Unit = mm, Angle = deg.
## Side : All
# Ref     Val            Package                                PosX       PosY       Rot  Side
C1        2u2            C_0603_1608Metric                   36.3000    31.2250  -90.0000  top
C2        100n           C_0402_1005Metric                   34.8000    31.5200  -90.0000  top
C3        2u2            C_0603_1608Metric                   24.0250    12.7750   90.0000  top
C4        100n           C_0402_1005Metric                   25.5500    11.7500  -90.0000  top
C5        2u2            C_0603_1608Metric                    9.6000    31.2250   90.0000  top
C6        100n           C_0402_1005Metric                    8.4000    31.4800  -90.0000  top
C7        2u2            C_0603_1608Metric                   37.0250    51.5000    0.0000  top
C8        100n           C_0402_1005Metric                   34.8000    50.9800  -90.0000  top
C9        2u2            C_0603_1608Metric                   37.0250    45.5000    0.0000  top
C10       100n           C_0402_1005Metric                   34.8000    45.9800   90.0000  top
C11       100n           C_0402_1005Metric                   34.8000    25.9800   90.0000  top
C12       2u2            C_0603_1608Metric                   36.3000    26.2750   90.0000  top
C13       100n           C_0402_1005Metric                   34.8000    37.9800  -90.0000  top
C14       100n           C_0402_1005Metric                   35.3000     9.9800  -90.0000  top
C15       2u2            C_0603_1608Metric                   37.0250     4.5000    0.0000  top
FM1       Fiducial       Fiducial_1mm_Mask2mm                 1.5500    52.5000    0.0000  top
FM2       Fiducial       Fiducial_1mm_Mask2mm                75.3000    52.5000    0.0000  top
FM3       Fiducial       Fiducial_1mm_Mask2mm                 1.5500     1.5000    0.0000  top
J1        PWR_OUT        PinHeader_1x04_P1.00mm_Vertical     36.3000     2.0000  -90.0000  top
J2        EXT            PinHeader_1x02_P1.00mm_Vertical     28.3000     2.0000  -90.0000  top
J3        DATA_BUS       PinHeader_1x08_P1.00mm_Vertical      2.0500    27.0000    0.0000  top
J4        MEM_DBG        PinHeader_1x08_P1.00mm_Vertical     24.3000    49.0000    0.0000  top
J5        CPU_DBG        PinHeader_1x08_P1.00mm_Vertical     65.8000    50.0000    0.0000  top
J6        PIX            IDC-Header_2x04_P2.54mm_Vertical    71.8000     5.9600  180.0000  top
R1        220R           R_0402_1005Metric                   63.7900    14.5000  180.0000  top
R2        220R           R_0402_1005Metric                   63.7900    17.0000  180.0000  top
R3        56k            R_0402_1005Metric                    8.7900    45.0000    0.0000  top
R4        56k            R_0402_1005Metric                    8.7900    37.5000    0.0000  top
R5        56k            R_0402_1005Metric                    8.7900    47.5100  180.0000  top
R6        56k            R_0402_1005Metric                   16.3100    40.0000    0.0000  top
R8        22R            R_0402_1005Metric                   37.8000    38.0000   90.0000  top
R9        22R            R_0402_1005Metric                   63.3100    32.5000    0.0000  top
RN1       330R           R_Array_Convex_8x0602               64.9000    28.2500  180.0000  top
U1        RP2040-PICO30  RaspberryPi_Pico_Common             50.1900    25.8500  180.0000  top
U2        W65C816SxP     DIP-40_W15.24mm_Socket               5.0600    50.1800    0.0000  top
U3        ESP-PSRAM64H   SOIC-8_3.9x4.9mm_P1.27mm            30.3000    49.5000    0.0000  top
U4        ESP-PSRAM64H   SOIC-8_3.9x4.9mm_P1.27mm            30.3000    43.5000    0.0000  top
U5        74LVC02        TSSOP-14_4.4x5mm_P0.65mm            30.3000    36.5000    0.0000  top
U6        74LVC139       TSSOP-16_4.4x5mm_P0.65mm            30.3000    29.4750    0.0000  top
U7        74LVC245       TSSOP-20_4.4x6.5mm_P0.65mm          30.3000    22.5000    0.0000  top
U8        74LVC245       TSSOP-20_4.4x6.5mm_P0.65mm          30.3000    15.0000  180.0000  top
U9        74LVC245       TSSOP-20_4.4x6.5mm_P0.65mm          30.3000     7.5000    0.0000  top
## End
