"Reference","Value","Footprint","Qty","Description","Manufacturer","Manufacturer Part Number","Distributor Link"
"C1,C3,C7,C11,C22,C24","1u","Capacitor_SMD:C_0402_1005Metric","6","","Samsung Electro-Mechanics","CL05A105KP5NNNC","https://mou.sr/4bECjGk"
"C2,C4,C5,C6,C8,C9,C13,C14,C15,C16","100n","Capacitor_SMD:C_0402_1005Metric","10","","Samsung Electro-Mechanics","CL05A104KP5NNND","https://mou.sr/3KdZBGS"
"C10,C12","10p","Capacitor_SMD:C_0402_1005Metric","2","","Samsung Electro-Mechanics","CL05C100JB5NNWC","https://mou.sr/3wG0dC5"
"D1,D2","LED","LED_SMD:LED_0805_2012Metric","2","","ams OSRAM","LG R971-KN-1","https://mou.sr/4bR62v3"
"J1","USB_OTG","Connector_USB:USB_Micro-B_Molex-105017-0001","1","","Amphenol FCI","10118194-0001LF","https://mou.sr/4dT1d6p"
"J5","NOT_HDMI_A","picodvi:HDMI-SS-53000","1","","Stewart Connector / Bel","SS-53000-001","https://mou.sr/3yy3Z0K"
"R1,R3,R6,R7,R8,R9,R11,R20","2k2","Resistor_SMD:R_0402_1005Metric","8","","Panasonic","ERJ-2GEJ222X","https://mou.sr/3Ko4NYx"
"R4,R5","27R","Resistor_SMD:R_0402_1005Metric","2","","Panasonic","ERJ-2GEJ270X","https://mou.sr/4aDuT4K"
"R10,R12,R13,R14,R15,R16,R17,R18,R19","270","Resistor_SMD:R_0402_1005Metric","9","","Panasonic","ERJ-2GEJ271X","https://mou.sr/3R2dc7N"
"R21","4k7","Resistor_SMD:R_0402_1005Metric","1","","Panasonic","ERJ-2GEJ472X","https://mou.sr/3WW8RXu"
"SW1,SW2,SW3","SW_Push","picodvi:SW_SPST_PTS815","3","","CUI Devices","TS20-42-25-WT-160-SMT-TR","https://mou.sr/3QW06J9"
"U1","RP2040","picodvi:QFN-56_EP_7x7_Pitch0.4mm","1","","Raspberry Pi","SC0914(13)","https://mou.sr/3yzMLAh"
"U2","NCP115ASN330","Package_TO_SOT_SMD:SOT-23-5_HandSoldering","1","","onsemi","NCP115ASN330T2G","https://mou.sr/3XPpim0"
"U3","W25Q16JV","Package_SON:WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4mm","1","","Winbond","W25Q16JVZPIM","https://mou.sr/3QZBQWG"
"U4","S70KL128","picodvi:S70KS128","1","","Infineon Technologies","S70KL1282GABHV020","https://mou.sr/4aGu1MC"
"Y1","12 M","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","1","","ABRACON","ABM8G-12.000MHZ-8-B2X-T","https://mou.sr/4aD4eFh"
