"Reference","Value","Footprint","Qty","Description","Manufacturer","Manufacturer Part Number","Distributor Link"
"C1,C3,C5,C7,C9,C12,C15","2u2","Capacitor_SMD:C_0603_1608Metric","7","Unpolarized capacitor","Samsung","CL10A225KP8NNNC","https://mou.sr/3w2rYEg"
"C2,C4,C6,C8,C10,C11,C13,C14","100n","Capacitor_SMD:C_0402_1005Metric","8","Unpolarized capacitor","Samsung","CL05B104KO5VPNC","https://mou.sr/3xGMjjb"
"J6","PIX","Connector_IDC:IDC-Header_2x04_P2.54mm_Vertical","1","IDC connector, double row, 02x04, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers)","Amphenol FCI","71600-108LF","https://mou.sr/3Jhh3d6"
"R1,R2","220R","Resistor_SMD:R_0402_1005Metric","2","Resistor","Panasonic"," ERJ-2GEJ221X","https://mou.sr/4aBofNf"
"R3,R4,R5,R6","56k","Resistor_SMD:R_0402_1005Metric","4","Resistor","Panasonic","ERJ-2GEJ563X","https://mou.sr/49zQz12"
"R8,R9","22R","Resistor_SMD:R_0402_1005Metric","2","Resistor","Panasonic","ERJ-2RKF22R0X","https://mou.sr/4b0pJA7"
"RN1","330R","Resistor_SMD:R_Array_Convex_8x0602","1","8 resistor network, parallel topology","Panasonic","EXB-2HV331JV","https://mou.sr/3vZmbiL"
"U3,U4","ESP-PSRAM64H","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","2","64 Mbit serial pseudo SRAM device organized as 8Mx8 bits, 3.3 VCC, SOIC8 (SOP8)","Adafruit ","4677","https://mou.sr/3vCkKqE"
"U5","74LVC02","Package_SO:TSSOP-14_4.4x5mm_P0.65mm","1","quad 2-input NOR gate","TI","SN74LVC02APWR","https://mou.sr/3Udvfdg"
"U6","74LVC139","Package_SO:TSSOP-16_4.4x5mm_P0.65mm","1","Dual Decoder 1 of 4, Active low outputs","TI","SN74LVC139APWR ","https://mou.sr/3UeJ8aY"
"U7,U8,U9","74LVC245","Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm","3","8-Bit Single-Supply Bus Transceiver With 3-State Outputs, TSSOP-20","TI","SN74LVC245APWR","https://mou.sr/4alyB3z"
